Symbol,Beta,VolAvg,MktCap,LastDiv,companyName,currency,exchange,exchangeShortName,industry,website,description,CEO,sector,country,fullTimeEmployees,phone,address,city
BHARTIARTL.NS,0.48407,9676908,"4,157,831,380,992.00",2,Bharti Airtel Limited,INR,NSE,NSE,Telecom Services,https://www.airtel.in,"Bharti Airtel Limited operates as a telecommunications company in Asia and Africa. It operates through Mobile Services India, Mobile Services Africa, Mobile Services South Asia, Airtel Business, Tower Infrastructure Services, Homes Services, Digital TV Services, and Others segments. The company's product offerings include 2G, 3G, and 4G wireless services, as well as mobile commerce, fixed line services, high speed home broadband, DTH, and enterprise services, including national and international long distance services to carriers. It also provides voice, data, video, network integration, data center, and managed services, as well as enterprise mobility applications; on-demand entertainment and streaming services, such as music and video; digital payments and financial services; and cloud and data center, cybersecurity, IoT, Ad Tech, and cloud based communication products. In addition, the company operates a submarine cable system; and provides telecom towers and related infrastructure for various mobile operators. As of August 5, 2021, it had approximately 474 million customers across its operations. Bharti Airtel Limited has collaboration with Qualcomm Technologies, Inc. for accelerating 5G; partnership with Google Cloud and Cisco to launch Airtel Office Internet, a unified enterprise grade solution; and a strategic partnership with Tata Consultancy Services Limited for implementing 5G network solutions for India. The company was formerly known as Bharti Tele-Ventures Limited and changed its name to Bharti Airtel Limited in April 2006. Bharti Airtel Limited was incorporated in 1995 and is headquartered in New Delhi, India.",Mr. Gopal Vittal,Telecommunication,IN,18363,911146666100,"Bharti Crescent, 1, Nelson Mandela Road, Vasant Kunj, Phase II",New Delhi
KOTAKBANK.NS,0.6323,3162848,"3,905,207,926,784.00",0.9,Kotak Mahindra Bank Limited,INR,NSE,NSE,Banks—Regional,https://www.kotak.com,"Kotak Mahindra Bank Limited, provides banking and financial services to corporate and individual customers in India. It operates through Treasury, BMU, and Corporate Centre; Retail Banking; Corporate/Wholesale Banking; Vehicle Financing; Other Lending Activities; Broking; Advisory and Transactional Services; Asset Management; and Insurance segments. The Treasury, BMU and Corporate Centre segment engages in dealing in debt, equity, money and forex market, derivatives, and investments; and the primary dealership of government securities and balance sheet management unit (BMU) responsible for asset liability management. The Retail Banking segment offers commercial vehicle finance, personal, home, and other loans/services, and agriculture finance services. This segment also provides savings, current, and term deposit accounts; branch banking network and services, including distribution of financial products; and credit cards. The Corporate/Wholesale Banking segment offers wholesale borrowings and lending, and other related services to the corporate sector. Its Vehicle Financing segment provides retail vehicle and wholesale trade finance to auto dealers. The Other Lending Activities segment offers financing against securities, securitization, and other loans/services. Its Broking segment provides brokerage income on market transactions and delayed payments interest; and distributes financial products. The Advisory and Transactional Services segment offers mergers and acquisition advice, and equity/debt issue management services. Its Asset Management segment engages in the management of funds and investments on behalf of clients and funds. The Insurance segment provides life insurance and general insurance products. As of March 31, 2021, it had a network of 1,604 branches and 2,598 ATMs; and branches in GIFT City and DIFC, Dubai. Kotak Mahindra Bank Limited was incorporated in 1985 and is based in Mumbai, India.",Mr. Uday Kotak,Banking,IN,73000,912261660000,"27BKC, C 27, G Block, Bandra Kurla Complex, Bandra (E)",Mumbai
WIPRO.NS,0.671238,7751037,"3,792,191,356,928.00",1,Wipro Limited,INR,NSE,NSE,Information Technology Services,https://www.wipro.com,"Wipro Limited operates as information technology (IT), consulting, and business process services company worldwide. It operates through three segments: IT Services, IT Products, and India State Run Enterprise Services (ISRE). The IT Services segment offers IT and IT-enabled services, including digital strategy advisory, customer-centric design, technology consulting, IT consulting, custom application design, development, re-engineering and maintenance, systems integration, package implementation, infrastructure, analytics, business process, research and development, and hardware and software design services to enterprises. It serves customers in various industry sectors, such as healthcare and medical devices, consumer goods and life sciences, retail, transportation and services, communications, media and information services, technology products and platforms, banking, financial services and insurance, manufacturing, hi-tech, energy, and utilities. The IT Products segment provides a range of third-party IT products comprising enterprise platforms, networking solutions, software and data storage products, contact center infrastructure, enterprise security, IT optimization technologies, video solutions, and end-user computing solutions. It serves enterprises in various industries primarily in the India market, which comprise the government, defense, IT and IT-enabled services, telecommunications, manufacturing, utilities, education, and financial services sectors. The ISRE segment offers IT services to entities and/or departments owned or controlled by the Government of India and/or various Indian State Governments. Wipro Limited has a collaboration agreement with FEV Europe GmbH to develop and market software defined vehicles; and IP Infusion to deliver validated disaggregated networking solutions, as well as has strategic partnerships with Apptio, Inc. and DataRobot, Inc. The company was incorporated in 1945 and is based in Bengaluru, India.",Mr. Abidali Neemuchwala,Technology,IN,221365,918028440011,"Survey #76P & #80P Doddakanahalli Villag, Varthur Hobli Sarjapur Rd Bangalore",Bangalore
HCLTECH.NS,0.756637,4339078,"3,641,609,289,728.00",30,HCL Technologies Limited,INR,NSE,NSE,Information Technology Services,https://www.hcltech.com,"HCL Technologies Limited offers software development, business process outsourcing, and infrastructure management services worldwide. It operates through three segments: IT and Business Services; Engineering and R&D Services; and Products & Platforms. The IT and Business Services segment provides IT and business services, such as application, infrastructure, and digital process operations; digital transformation services for digital and analytics; IoTWoRKs; and cloud native and cybersecurity solutions. Its Engineering and R&D Services segment offers engineering services and solutions to software, embedded, mechanical, VLSI, and platform engineering that support the lifecycle of products for hardware and software industries. The Products & Platforms segment provides modernized software products for technology and industry specific requirements. This segment also offers HCL software; DRYiCE software, an organic IP-based software unit; Actian, a portfolio of products and solutions, including data management, integration, analytics, and hybrid data for enterprises, retail, telecommunications, media, healthcare, and manufacturing. The company also offers hybrid clouds, digital workplace, and cloud native services, as well as service integration and management. It serves financial services, manufacturing, life sciences and healthcare, public services, retail and CPG, technology and services, telecom, media, publishing, and entertainment industries. HCL Technologies Limited has strategic alliances with Alteryx, Inc. to enhance analytics automation and digital transformation for Global 2000 enterprises; Workato, Inc. to introduce ADvantage Workato, a set of offerings and integrations with the Workato platform; Moogsoft Inc. to deliver a solution for automated remediation of IT incidents; and HANCOM Inc. to advance technology solutions, as well as a partnership with Finastra Group Holdings Limited to drive digital transformation. The company was founded in 1976 and is headquartered in Noida, India.",Mr. C. Kumar,Technology,IN,187634,,"Technology Hub, SEZ, Plot No. 3A, Sector 126",Noida
ASIANPAINT.NS,0.387168,1242175,"3,415,035,346,944.00",18.15,Asian Paints Limited,INR,NSE,NSE,Specialty Chemicals,https://www.asianpaints.com,"Asian Paints Limited, together with its subsidiaries, manufactures, sells, and distributes paints and coatings for decorative and industrial use in India and internationally. It operates in Paints and Home Improvement segments. The company offers decorative coatings for interior and exterior walls, metal finishes, and wood finishes; mechanized tools and waterproofing products; adhesives; bath fittings and accessories; modular kitchens and wardrobes; wall coverings and stickers; furniture; furnishings and lightings; kitchen hardware, accessories, and appliances; home dÃ©cor products; and sanitizers and surface disinfectants, as well as services, including color consultancy, home painting, dÃ©cor, project, interior design, and sanitization services. It also manufactures varnishes, enamels, or lacquers; surfacing preparations; organic composite solvents and thinners, and other related products; organic and inorganic chemical compounds; metal sanitary ware, such as bath, sinks, washbasins, and related articles; cosmetics and toiletries; and other perfumes and toilet preparations. The company offers its products under the Asian Paints, SCIB Paints, Apco Coatings, Asian Paints Berger, Taubmans, Asian Paints Causeway, and Kadisco Asian Paints brands through a network of dealers and retail stores, as well as operates asianpaints.com, an online shop. Asian Paints Limited was founded in 1942 and is headquartered in Mumbai, India.",Shri. K. B. S. Anand,Chemicals,IN,7134,912239818000,"Asian Paints House, 6A, Shantinagar, Santacruz (EAST)",Mumbai
BAJAJFINSV.NS,1.317699,263562,"2,886,493,274,112.00",3,Bajaj Finserv Ltd.,INR,NSE,NSE,Financial Conglomerates,https://www.bajajfinserv.in/corporate-bajaj-finserv,"Bajaj Finserv Ltd. operates as the holding company for various financial services businesses under the Bajaj group. The company operates through Life Insurance, General Insurance, Windmill, Retail Financing, and Investments and Other segments. It serves millions of customers by providing solutions for asset acquisition through financing; asset protection through general insurance, including motor, health, crop, marine, and other insurance products; family and income protection in the form of life and health insurance; and retirement and savings solutions. The company also generates renewable energy through windmills. It owns and operates 138 windmills with total installed capacity of 65.2 Megawatts. The company was incorporated in 2007 and is based in Pune, India.",Mr. Rakesh Bhatt,Insurance,IN,105,912039575152,"Bajaj Auto Ltd Complex, Mumbai - Pune Road, Akurdi",Pune
DMART.NS,0.095955,603377,"2,827,570,118,656.00",0,Avenue Supermarts Limited,INR,NSE,NSE,Discount Stores,https://www.dmartindia.com,"Avenue Supermarts Limited operates in the business of organized retail and operates supermarkets under the brand name of D-Mart. It offers food products, including groceries, staples, processed foods, dairy and frozen products, beverages and confectionery products, and fruits and vegetables; non-food products comprising home care and personal care products, toiletries, and other over the counter products; and general merchandise and apparel products, such as bed and bath products, toys and games, crockery, plastic goods, garments, footwear, utensils, and home appliances. The company is also involved in the online retail of food products and groceries. It operates through a network of 234 stores located in Maharashtra, Gujarat, Telangana, Karnataka, Andhra Pradesh, Madhya Pradesh, Tamil Nadu, Rajasthan, Chhattisgarh, Punjab, Daman, and NCR. Avenue Supermarts Limited was incorporated in 2000 and is headquartered in Mumbai, India.",Mr. Ignatius Noronha,Retail,IN,10175,912233400500,"Plot No B 72 & B 72A, Wagle Industrial Estate Thane West",Mumbai
LT.NS,0.767699,2554356,"2,772,089,438,208.00",18,Larsen & Toubro Limited,INR,NSE,NSE,Engineering & Construction,https://www.larsentoubro.com,"Larsen & Toubro Limited engages in engineering, construction, and manufacturing operations worldwide. The Infrastructure segment engineers and constructs building and factories, transportation infrastructure, heavy civil infrastructure, power transmission and distribution, water and effluent treatment, and metallurgical and material handling systems. The Power segment offers turnkey solutions for coal-based and gas-based thermal power plants, including power generation equipment with associated systems and balance-of-plant packages. The Heavy Engineering segment manufactures and supplies custom designed, engineered critical equipment and systems to the fertilizer, refinery, petrochemical, chemical, oil and gas, and thermal and nuclear power industries. The Defence Engineering segment designs, develops, produces, and supports equipment, systems, and platforms for the defense and aerospace sectors. This segment also designs, constructs, and repairs/refits defense vessels. The Others segment engages in the realty, hydrocarbons, and industrial valves businesses; smart world and communication businesses, including military communications; marketing and servicing of construction and mining machinery and parts; and manufacturing and sale of rubber processing machinery. The company was founded in 1938 and is headquartered in Mumbai, India.",Mr. S. Subrahmanyan,Construction,IN,40253,912267525656,"L&T House, Ballard Estate, P. O. Box: 278",Mumbai
ITC.NS,0.53053,22946917,"2,759,705,755,648.00",10.75,ITC Limited,INR,NSE,NSE,Tobacco,https://www.itcportal.com,"ITC Limited engages in the fast-moving consumer goods, hotels, paperboards and paper, packaging, agri, and information technology (IT) businesses in India and internationally. The company primarily offers cigarettes and cigars; staples, spices, biscuits, confectionery and gums, snacks, noodles and pasta, beverages, dairy, ready to eat meals, chocolate, coffee, and frozen foods; personal care products; notebooks, pens and pencils, geometry boxes, erasers, sharpeners, rulers, wax and plastic crayons, sketch pens, and oil pastels; safety matches; and incense sticks under various brands, as well as retails formal and casual wear products under the WLS brand. It also operates approximately 100 hotels under the ITC Hotel, WelcomHotel, Fortune, and WelcomHeritage brands; and Kaya Kalp spas. In addition, the company offers virgin, recycled, barrier coated, biodegradable barrier coated, and graphic boards, as well as specialty papers; and packaging products, such as carton board, flexible, tobacco, and green packaging products; and exports feed ingredients, food grains, marine products, processed fruits, coffee products, leaf tobacco products, and spices. Further, it offers information technology services for the banking, financial services, consumer packaged goods, manufacturing, travel, hospitality, and healthcare industries. Additionally, the company provides property infrastructure and estate maintenance, business consulting, real estate development, and agro-forestry and other related services; manages and operates golf courses; fabricates and assembles machinery for tube filling, cartoning, wrapping, conveyor solutions, and engineering services; produces and commercializes seed potato technology products; and air ticketing, car rental, inbound outbound tourism, domestic holiday, conference, event and exhibition management, and foreign exchange services. ITC Limited was incorporated in 1910 and is headquartered in Kolkata, India.",,Tobacco,IN,26071,913322889371,"Virginia House, 37, J. L. Nehru Road",Kolkata
ADANIGREEN.NS,1.273738,926619,"2,564,038,066,176.00",0,Adani Green Energy Limited,INR,NSE,NSE,Utilities—Renewable,https://www.adanigreenenergy.com,"Adani Green Energy Limited generates and supplies renewable energy to central and state government entities, and government backed corporations in India. The company builds, owns, and operates power plants through renewable sources, such as solar, wind, and hybrid; and provides other ancillary services. It operates solar power plants with an operational capacity of 3,023 megawatts (MW); and wind power plants with an operational capacity of 497 MW. The company was incorporated in 2015 and is based in Ahmedabad, India.",Mr. Jayant Parimal,Utilities,IN,795,917926565555,"Adani House, Near Mithakhali Six Roads, Navrangpura",Ahmedabad
MARUTI.NS,0.93584,715864,"2,466,815,410,176.00",45,Maruti Suzuki India Limited,INR,NSE,NSE,Auto Manufacturers,https://www.marutisuzuki.com,"Maruti Suzuki India Limited manufactures, purchases, and sells motor vehicles, components, and spare parts primarily in India, rest of Asia, Europe, Africa, Oceania, and Latin America. The company offers passenger vehicles, multi utility vehicles, and multi-purpose vehicles. It is also involved in the facilitation of pre-owned car sales, fleet management, and car financing. In addition, the company offers driving school, accessories, insurance, auto card, pre-owned car, and financing products and services. As of March 31, 2021, it had a network of 4,044 workshops across 2,014 towns and cities. The company was formerly known as Maruti Udyog Limited and changed its name to Maruti Suzuki India Limited in September 2007. The company was incorporated in 1981 and is headquartered in New Delhi, India. Maruti Suzuki India Limited is a subsidiary of Suzuki Motor Corporation.",Mr. Kenichi Ayukawa,Automobiles,IN,16025,911146782053,"Plot No 1, Nelson Mandela Road,, Vasant Kunj",New Delhi
TITAN.NS,0.749115,1512862,"2,329,283,919,872.00",4,Titan Company Limited,INR,NSE,NSE,Luxury Goods,https://www.titancompany.in,"Titan Company Limited, together with its subsidiaries, manufactures and sells watches, jewelry, eyewear, and other accessories and products in India and internationally. It operates through four segments: Watches and Wearables, Jewellery, Eyewear, and Others. The company offers watches and accessories under the Titan Edge, Titan Raga, Nebula, Octane, Fastrack, Titan HTSE, Zoop, Sonata, Favre-Leuba, SF, Xylys, World of Titan, and Helios brands. It also provides jewelry products under the Mia, CaratLane, Tanishq, and Zoya brands; and retails watches under the Helios brand. In addition, the company offers optical products under the Titan EyePlus brand, as well as Fastrack and Glares brands. Further, it provides a range of fragrance products under the SKINN brand; and sarees, lehengas, yardages, stoles, and dupattas under the Taneira brand, as well as engages in the precision component manufacturing and designing, and automation machines manufacturing activities for the aerospace and defense industries. The company offers its products through retail stores and dealers, as well as online. As of March 31, 2021, it operated approximately 1,909 stores with approximately 2.5 million square feet of retail space. The company was formerly known as Titan Industries Limited and changed its name to Titan Company Limited in August 2013. Titan Company Limited was incorporated in 1984 and is based in Bengaluru, India.",,"Textiles, Apparel & Luxury Goods",IN,7235,918067047000,"3, Sipcot Industrial Complex",Bangalore
